2
# Numeric modifiers can now be expressions, enclosed in square brackets.
# No spaces are allowed within the expression, except as part of a zone/location name.
# + - * / ( ) have their usual mathematical meaning and precedence.
# ^ is exponentiation, with the highest precedence.
# Functions available:
#	ceil(x) floor(x) sqrt(x) min(x,y) max(x,y) abs(x)
# Location functions: loc(text) zone(text)
#	These have a value of 1 if the current adventure location or zone contains the
#	specified text, 0 elsewhere.
# Path function: path(text)
#	This has a value of 1 if the player's path matches the text.
# Familiar function: fam(text)
#	This has a value of 1 if the player's familiar type contains the text, else 0.
# Weapon function: mainhand(text)
#	This has a value of 1 if the player's mainhand weapon class (sword, club, etc.)
#	contains the text.
# Preferences function: pref(text)
# Effect function: effect(text)
#	This returns the number of turns remaining of the effect uniquely matching text.
# Resistance function: res(text)
#	This returns the number of resistance levels for the listed element
# Class function: class(text)
#	This has a value of 1 if the player's class matches the text.
# Skill function: skill(text)
#	This has a value of 1 if the player has the skill matching the text.
# There can be at most one of each text function in any single expression.
# Upper-case letters are varying values:
#	A - number of Ascensions
#	B - Blood of Wereseal effect
#	C - Clancy's level
#	D - Drunkenness
#	E - active (nonintrinsic) Effects
#	F - Fullness
#	G - Grimace darkness (0..5)
#	H - Hobo Power
#	I - Disco Momentum
#	J - 1 on Festival of Jarlsberg, 0 otherwise
#	K - Smithsness
#	L - player Level
#	M - total Moonlight (0..9)
#	N - AudieNce
#	P - Pasta Thrall level
#	R - Reagent potion duration
#	S - Spleenness
#	T - Turns remaining of this effect
#	U - telescope Upgrades
#	W - familiar Weight
#	X - gender (-1=male, 1=female)
#	Y - furY
#
# Items which "change with every new day":
#
# Tuesday's Ruby
#	Sunday		+5% Meat from Monsters
#	Monday		Muscle +5%
#	Tuesday		Regenerate 3-7 MP per adventure
#	Wednesday	+5% Mysticality
#	Thursday	+5% Item Drops from Monsters
#	Friday		+5% Moxie
#	Saturday	Regenerate 3-7 HP per adventure

# Hats section of modifiers.txt

yellow glowstick	Maximum MP: +5, Moxie: -3, Raveosity: +1
Yellow Moon of Compassion	Muscle: +9, Mysticality: +9, Moxie: +9, Item Drop: +7, Single Equip
Zinc Delta of Tranquility	Muscle: +8, Mysticality: +8, Moxie: +8, Item Drop: +8, Single Equip
zombie monkey necklace	Spooky Damage: +11, Stench Damage: +11
Zombo's skull ring	Moxie Percent: +15, PvP Fights: +4, Single Equip

# Containers section of modifiers.txt

anniversary pewter cape	Muscle: +1, Mysticality: +1, Moxie: +1
auxiliary backbone	PvP Fights: +3
barskin cloak	Muscle: +7
black cloak	Spell Damage: +10
# Buddy Bjorn: Put a Familiar In It!
# Buddy Bjorn: That Familiar gains 1 Experience per Fight
Buddy Bjorn	Softcore Only
# Camp Scout backpack: Helps You Be Prepared
Camp Scout backpack	Item Drop: +15, Softcore Only
Cloak of Dire Shadows	Maximum MP: +40, Meat Drop: +10, Muscle Percent: +5, Mysticality Percent: +5, Moxie Percent: +5
cod cape	Stench Damage: +25, Combat Rate: +5
Drapes-You-Regally	Meat Drop: +20, Booze Drop: +20, Hat Drop: +20, Class: "Disco Bandit"
Drunkula's cape	Adventures: +3, Candy Drop: +20, Accessory Drop: +20, Class: "Sauceror"
frozen turtle shell	Cold Damage: +15, Stench Resistance: +2, Sleaze Resistance: +2, Class: "Turtle Tamer"
ghost shawl	Spell Damage: +50, Spell Critical Percent: +5
giant gym membership card	Weapon Damage: +15
Great S-Cape	Muscle: +5, Mysticality: +5, Moxie: +5, Softcore Only
hemp backpack	Item Drop: +2
# Lord Flameface's cloak: Has Cool Swirling Flames
Lord Flameface's cloak	Cold Resistance: +2
makeshift cape	Item Drop: +5
Mayor Ghost's cloak	PvP Fights: +5, Weapon Drop: +20, Food Drop: +20, Class: "Pastamancer"
Misty Cape	Moxie: +5, HP Regen Min: 2, HP Regen Max: 4, MP Regen Min: 1, MP Regen Max: 2
Misty Cloak	Muscle: +5, HP Regen Min: 4, HP Regen Max: 8
Misty Robe	Mysticality: +5, MP Regen Min: 2, MP Regen Max: 4
Mr. Container	Item Drop: +3
Newbiesport&trade; backpack	Item Drop: +1
oil shell	Sleaze Damage: +15, Class: "Turtle Tamer"
old SCUBA tank	Item Drop: -50, Initiative: -100, Adventure Underwater
palm-frond cloak	Spooky Resistance: +1, Stench Resistance: +1, Hot Resistance: +1, Cold Resistance: +1, Sleaze Resistance: +1
paperclip cape	HP Regen Min: 5, HP Regen Max: 7, MP Regen Min: 5, MP Regen Max: 7
pillow shell	Damage Reduction: 3, Class: "Turtle Tamer"
Rain-Doh red wings	Hot Damage: +11, Initiative: +20, Softcore Only
rubber cape	Spooky Resistance: +2, Stench Resistance: +2, Hot Resistance: +2, Cold Resistance: +2, Sleaze Resistance: +2, Damage Reduction: 10
sea cape	Moxie Percent: +5, Maximum HP: +30, Maximum MP: +30, Initiative: [50*(zone(The Sea)+loc(The Sunken Party Yacht))], Critical Hit Percent: [15*(zone(The Sea)+loc(The Sunken Party Yacht))]
# sea mantle: +150% Physical Damage (Underwater Only)
sea mantle	Muscle Percent: +10, Maximum MP: +50, Weapon Damage Percent: [150*(zone(The Sea)+loc(The Sunken Party Yacht))]
sea shawl	Mysticality Percent: +15, Maximum HP: +100, Spell Damage Percent: [150*(zone(The Sea)+loc(The Sunken Party Yacht))]
sealhide cloak	Cold Resistance: +2
shellacked shell	Maximum HP: +5, HP Regen Min: 2, HP Regen Max: 3, Class: "Turtle Tamer"
# shocked shell: Deals physical damage every round
shocked shell	Class: "Turtle Tamer"
Size XI Wizard's Robe	Booze Drop: +11, Food Drop: +11, Candy Drop: +11
smoker's cloak	Monster Level: +10, Initiative: +20, Stench Damage: +30
super-absorbent tarp	Maximum Hooch: +2
T&Icirc;&curren;&loz;lisman of Bai&oslash;&Dagger;	Wiki Name: "Bugged baio"
teddybear backpack	Meat Drop: +10, Raveosity: +1
Time Bandit Time Towel	Muscle: +5, Mysticality: +5, Moxie: +5, Adventures: +1
Time Cape	Item Drop: [25*zone(Twitch)]
# Time Cloak: Sometimes Find an Extra Chroner in the Time-Twitching Tower
# toy jet pack: Jane!  Get Me Off This Crazy Thing!
whatsit-covered turtle shell	Spooky Resistance: +1, Stench Resistance: +1, Hot Resistance: +1, Cold Resistance: +1, Sleaze Resistance: +1, Class: "Turtle Tamer"
wings of fire	Hot Damage: +25, Hot Spell Damage: +25

# Familiar Items section of modifiers.txt

1.21 jigawatts	Familiar Weight: +5
100-Watt bulb	Familiar Weight: +5
affordable teak perch	Familiar Weight: +5
# amphibious tophat: Lets your Frog Breathe Underwater
amphibious tophat	Underwater Familiar, Equips On: "Dancing Frog", Familiar Effect: "adventure underwater"
anniversary tiny latex mask	Familiar Weight: +1, Generic
annoying pitchfork	Monster Level: +5, Generic
ant antidepressant	Familiar Weight: +5
# ant hoe: Your familiar will sow pain and reap Meat.
ant hoe	Generic, Familiar Effect: "sleaze damage, meat", Meat Bonus: +12.5
# ant pick: Your familiar will sow pain and reap Meat.
ant pick	Generic, Familiar Effect: "cold damage, meat", Meat Bonus: +12.5
# ant pitchfork: Your familiar will sow pain and reap Meat.
ant pitchfork	Generic, Familiar Effect: "stench damage, meat", Meat Bonus: +12.5
# ant rake: Your familiar will sow pain and reap Meat.
ant rake	Generic, Familiar Effect: "hot damage, meat", Meat Bonus: +12.5
# ant sickle: Your familiar will sow pain and reap Meat.
ant sickle	Generic, Familiar Effect: "spooky damage, meat", Meat Bonus: +12.5
aquaviolet jub-jub bird	Familiar Weight: +5, Familiar Tuning: "Mysticality", Familiar Effect: "mys stats"
astral pet sweater	Familiar Weight: +10, Generic
attention spanner	Familiar Weight: +5
# badger badge: Increases Astral Mushroom Drop Rate
# bag of many confections: Full of Candy!
blue canary nightlight	Familiar Weight: +5
blue suede shoes	Familiar Weight: +5
blundarrrbus	Familiar Weight: +5
bone collar	Familiar Weight: +5
bottle of Cochon Noir	Familiar Weight: +5
# bottle of moontan lotion: Makes Familiar More Sensitive to Light
bottle of perfume	Familiar Weight: +5
box of hickory chips	Familiar Weight: +5
brass crank handle	Familiar Weight: +5
brass stinger	Familiar Weight: +5
brass turkey knuckles	Familiar Weight: +10
bugged b&Atilde;&para;n&plusmn;&Atilde;&copy;t	Food Drop: +5, Pants Drop: +5, Candy Drop: +5, Fairy: 1.0, Equips On: "Baby Bugged Bugbear"
bugged balaclava	Monster Level: +20, Volleyball: 1.0, Equips On: "Baby Bugged Bugbear"
bugged beanie	Familiar Weight: +10
cactus monocle	Familiar Weight: +5
# can of starch: Makes Origami Towel Crane More Resistant to Wear and Tear
candied yam pinky ring	Familiar Weight: +5
charpuce jub-jub bird	Familiar Weight: +5, Familiar Tuning: "Moxie", Familiar Effect: "mox stats", Equips On: "Frumious Bandersnatch"
chiptune guitar	Item Drop: +25, Effect: "item drop", Equips On: "Mini-Hipster"
chocolate spurs	Familiar Weight: +5
chocolate-stained collar	Candy Drop: +25, Generic
cotton candy cordial	Familiar Weight: +5
cracker	Familiar Weight: +15
crimsilion jub-jub bird	Familiar Weight: +5, Familiar Tuning: "Muscle", Familiar Effect: "mus stats", Equips On: "Frumious Bandersnatch"
crystal decanter	Familiar Weight: +5
cute bow from beyond the stars	Familiar Weight: +5
das boot	Familiar Weight: -10, Underwater Familiar, Generic, Familiar Effect: "adventure underwater"
dental pliers	Familiar Weight: +5
diamond-studded fronts	Familiar Weight: +5
# evil teddy bear sewing kit: Teddy Bear loses less stuffing when hit
extra-heavy BRICKO brick	Familiar Weight: +5
extra-strength rubber bands	Familiar Weight: +5
eye 'n' horn shampoo	Familiar Weight: +5
eye-pod	Familiar Weight: +5
false eyelashes	Familiar Weight: +5
# farfalle bow tie: +10 lbs. of Barnacle
fin-bit wax	Familiar Weight: +5
# fishbone belt: (Heavy Rains only)
fishbone belt	Critical Hit Percent: [25*path(Heavy Rains)], Weapon Damage: [25*path(Heavy Rains)], Single Equip
# fishbone bracers: (Heavy Rains only)
fishbone bracers	Spell Critical Percent: [20*path(Heavy Rains)], Spell Damage Percent: [100*path(Heavy Rains)], Single Equip
# fishbone facemask: (Heavy Rains only)
fishbone facemask	Monster Level: [-30*path(Heavy Rains)]
# fishbone fins: Makes it harder for enemies to hit you in flood conditions
fishbone fins	Single Equip
# fishbone kneepads: (Heavy Rains only)
fishbone kneepads	Initiative: [60*path(Heavy Rains)], Single Equip
# fishy wand: Lets your familiar cast fishy spells
fishy wand	Generic, Familiar Effect: "fishy spells"
fixed-gear bicycle	Experience: +3, Effect: "stats", Equips On: "Mini-Hipster"
# flaming familiar doppelg&auml;nger: Familiar gains 1-2 extra experience per Adventure
flaming familiar doppelg&auml;nger	Monster Level: +5, Softcore Only, Generic, Experience (familiar): +1.5
flaming glowsticks	Familiar Weight: +5
# flaming nose: Makes Flaming Face More Complete
# flask of embalming fluid: Helps your Reanimated Reanimator collect body parts
french-fry grabber	Familiar Weight: +5
funky brass fez	Familiar Weight: +5
gazing shoes	Familiar Weight: +5
# giant book of ancient carols: Causes the Ancient Yuletide Troll to drop carol pages more frequently
gill rings	Familiar Weight: +5
# gnomish athlete's foot: Lets your gnome kick enemies prior to combat
gnomish athlete's foot	Equips On: "Reagnimated Gnome", Familiar Effect: "delevel"
# gnomish coal miner's lung: Your gnome's coughing will sometimes block enemy attacks
gnomish coal miner's lung	Equips On: "Reagnimated Gnome", Familiar Effect: "block"
# gnomish housemaid's kgnee: Lets your gnome help out around the house
gnomish housemaid's kgnee	Equips On: "Reagnimated Gnome", Familiar Effect: "gain advs"
# gnomish swimmer's ears: Makes you a better diver
# gnomish swimmer's ears: (because the gnome helps you dive better)
# gnomish swimmer's ears: (by riding on your back)
gnomish swimmer's ears	Underwater Familiar, Initiative Penalty: [10*(zone(The Sea)+loc(The Sunken Party Yacht))], Item Drop Penalty: [10*(zone(The Sea)+loc(The Sunken Party Yacht))], Meat Drop Penalty: [10*(zone(The Sea)+loc(The Sunken Party Yacht))], Equips On: "Reagnimated Gnome", Familiar Effect: "underwater"
# gnomish tennis elbow: Lets your gnome attack enemies
gnomish tennis elbow	Equips On: "Reagnimated Gnome", Familiar Effect: "damage"
green pixie spog	Familiar Weight: +5
Grim Brothers' story book	Familiar Weight: +5
grimstone galoshes	Familiar Weight: +5
guard turtle collar	Familiar Damage: +10, Generic
half-height unicycle	Familiar Weight: +5
hardware upgrade	Familiar Weight: +5
# homemade robot gear: +1 Gear
hot pink lipstick	Familiar Weight: +5
hypodermic needle	Familiar Weight: +5
iced-out bling	Familiar Weight: +5
icicle katana	Familiar Weight: +5
# imitation whetstone: Makes Imitation Crab claws sharper
immense ballet shoes	Familiar Weight: +5
ironic moustache	Familiar Weight: +10, Effect: "+10 lbs."
# ittah bittah hookah: Magical Smoke!
ittah bittah hookah	Familiar Weight: +5, Generic
# jalape&ntilde;o slices: +10 lbs. of Leprechaun
jalape&ntilde;o slices	Meat Drop: +60.9
Jawmaster 2000&trade;	Familiar Weight: +5
kitty sheet music	Familiar Weight: +5
lead necklace	Familiar Weight: +3, Generic
# Li'l Businessman Kit: Lets your familiar make deals
Li'l Businessman Kit	Meat Drop: +5, Item Drop: +5, Generic
licorice boa	Familiar Weight: +5
limburger biker boots	Familiar Weight: +5
little bitty bathysphere	Familiar Weight: -20, Underwater Familiar, Generic, Familiar Effect: "adventure underwater"
little box of fireworks	Familiar Weight: +5, Softcore Only, Generic, Experience: +1.5, Item Drop (sporadic): +12.5
Little Red Book	Familiar Weight: +5
# little wooden mannequin: Makes Kid Better at Drawing Other Players
little wooden mannequin	Familiar Weight: +5
# Loathing Legion helicopter: Familiar will act more often
Loathing Legion helicopter	Familiar Weight: +5, Softcore Only, Generic
lucky Tam O'Shanter	Meat Drop: +50, Softcore Only, Generic
lucky Tam O'Shatner	Meat Drop: +50, Softcore Only, Generic
magnifying glass	Familiar Weight: +5
many-eyed glasses	Familiar Weight: +5
Mayflower bouquet	Familiar Weight: +5, Softcore Only, Generic, Experience: +0.625, Meat Drop (sporadic): +5, Item Drop (sporadic): +2.5, Experience (familiar): +0.375
Meat detector	Familiar Weight: +5
meatcar model	Familiar Weight: +5
menorette	Familiar Weight: +5
metal mandible	Familiar Weight: +5
metallic foil bow	Familiar Weight: +5
metallic foil radar dish	Familiar Weight: +5, Volleyball: -1, Sombrero: +1, Equips On: "Crimbo P. R. E. S. S. I. E."
metrognome	Familiar Weight: +5
# microwave stogie: Helps your Organ Grinder Bake Pies Faster
mini-Mr. Accessory	Familiar Weight: +5
miniature antlers	Familiar Weight: [1+ceil(M/2)], Generic
miniature carton of clove cigarettes	Familiar Weight: +5
miniature castagnets	Familiar Weight: +5
# miniature dormouse: Makes March Hare More Better
miniature espresso maker	Familiar Weight: +5
miniature gravy-covered maypole	Item Drop: +25, Softcore Only, Generic
miniature Jacob's ladder	Familiar Weight: +5
# miniature life preserver: Helps your familiar deal with all this rain
miniature life preserver	Generic
miniature pruning shears	Familiar Weight: +5
miniature tophat	Familiar Weight: +5
# MiniMechaElf Laser Punch Missile Launcher: More likely to use more powerful attacks
miniscule beatbox	Familiar Weight: +5
mint-condition magic wand	Volleyball: 0.3334, Fairy: 0.3334
# moonglasses: Makes Familiar Less Sensitive to Light
# moveable feast: Familiar gains 1 extra experience per Adventure
# moveable feast: Familiar will start food fights!
moveable feast	Familiar Weight: +5, Softcore Only, Generic, Experience (familiar): +1
# nanorhino credit card: Helps your Nano-Rhino charge
nosy nose ringy ring	Familiar Weight: +15
# origami &quot;gentlemen's&quot; magazine: +10 lbs. of Ghuol Whelp
origami &quot;gentlemen's&quot; magazine	Softcore Only, Generic
overclocked avian microprocessor	Familiar Weight: +5
# oversized fish scaler: Allows familiar to scale fish
oversized fish scaler	Generic, Familiar Effect: "attack"
palm-frond toupee	Familiar Weight: +5
Panda outfit	Familiar Weight: +5, Item Drop: +5, Generic
penguin-smacking club	Familiar Damage: +15
pet anemone	Familiar Weight: +5
pet rock &quot;Groucho&quot; disguise	Familiar Weight: +11, Equips On: "Pet Rock | Toothsome Rock | Bulky Buddy Box | Holiday Log"
pet rock &quot;Snooty&quot; disguise	Familiar Weight: +11, Equips On: "Pet Rock | Toothsome Rock | Bulky Buddy Box | Holiday Log"
Petite Paintbrush	Adventures: +1, Generic
pile of dungeon junk	Familiar Weight: +5
# plastic bib: Makes your ghost better at eating stuff
# plastic pumpkin bucket: Familiar Will Occasionally Play Tricks on Enemies
plastic pumpkin bucket	Familiar Weight: +5, Item Drop: +13, Softcore Only, Generic
portable motorcycle	Familiar Weight: +5
# pretty pink bow: +10 lbs. of Ghoul Whelp
Pretty Predator Clawicure Kit	Familiar Weight: +5
prosthetic forehead	Familiar Weight: +5
psychedelic bubble wand	Familiar Weight: +5
putty coat	Familiar Weight: +5
# quadroculars: Helps Your He-Boulder See Better (x4)
quadroculars	Familiar Weight: +5
# quake of arrows: Holds Heavier Arrows
radioactive chew toy	Familiar Weight: +5
rainbow tie	Familiar Weight: +5
ramekin of space nuts	Familiar Weight: +5
rat head balloon	Familiar Weight: -3, Generic
rat tooth polish	Familiar Weight: +5
rattlesnake enrager	Familiar Weight: +5
# really tiny cocktail shaker
rhesus monkey	Familiar Weight: +5
ribcage rollcage	Familiar Weight: +5
S.L.E.I.G.H.B.E.L.L.S.	Familiar Weight: +5
S.S. Ticket	Familiar Weight: +5
# school spirit socket set: Keeps more steam in
security blankie	Familiar Weight: +5
serrated proboscis extension	Familiar Weight: +20
shiny brass tailfeathers	Familiar Weight: +5
shiny gold fronts	Familiar Weight: +5
# shock collar: Familiar Will Attack You Less Often
six-armed sweater	Familiar Weight: +5
skewer-mounted razor blade	Familiar Weight: +5
slightly thicker filthy rags	Familiar Weight: +5
smile-sharpening stone	Familiar Weight: +5
# smiley-face sticker: +10 lbs. of Volleyball
smiley-face sticker	Experience: +3.16
snow halo	Familiar Weight: +5
# Snow Suit: Lets Your Familiar Do Various Tricks
Snow Suit	Familiar Weight: [max(5,20-floor(pref(_snowSuitCount)/5))], Softcore Only, Generic
solid shifting time weirdness	Adventures: +4, PvP Fights: +4, Generic
solid state loom	Familiar Weight: +10
spoon!	Familiar Weight: +5
spruce juice	Familiar Weight: +5
# stick-on mini solar panels: +10 lbs. of Starfish
stomp box	Familiar Weight: +5
string of dingle balls	Familiar Weight: +5
sucky decal	Familiar Weight: +5
sugar shield	Familiar Weight: +10, Generic
# targeting chip: More likely to use more powerful attacks
tasteful black bow tie	Familiar Weight: +5
# teddy bear sewing kit: Teddy Bear loses less stuffing when hit
# teddy borg sewing kit: Teddy Borg loses less stuffing when hit
tiny ballet slippers	Familiar Weight: +5
tiny balloon knife	Familiar Weight: +5
tiny bindle	Familiar Weight: +5
# tiny bowler: Lets your familiar bowl
tiny bowler	Generic
tiny bust of Pallas	Familiar Weight: +5
tiny cell phone	Familiar Weight: +10
# tiny costume wardrobe: Contains Many Adorable Costumes
tiny costume wardrobe	Softcore Only, Generic, Familiar Weight: [25*fam(doppelshifter)]
tiny do-rag	Familiar Weight: +5
tiny fly glasses	Experience (familiar): +1, Generic
tiny knife and fork	Familiar Weight: +5
tiny makeup kit	Familiar Weight: +15
tiny maracas	Familiar Weight: +5
tiny Mountie hat	Familiar Weight: +5
# tiny nose-bone fetish: Reduces familiar's MP expenditure by 2-4
tiny prop sword	Familiar Weight: +5
tiny shaker of salt	Familiar Weight: +5
tiny sombrero	Sombrero Bonus: +10
# tiny top hat and cane: Lets your Li'l Xenomorph dance!
# tiny top hat and cane: (adds item0 to familiar abilities)
tiny top hat and cane	Fairy: 1.0
Toddler-sized Dragon Costume	Familiar Weight: +5, Item Drop: +5, Softcore Only, Generic
toy six-seater hovercraft	Familiar Weight: -5
# tuning fork: Familiar Will Attack You Less Often
# undissolvable contact lenses: Helps your Slimeling See Better
unspeakable lozenges	Familiar Weight: +5
velvet choker	Familiar Weight: +5
vicious spiked collar	Familiar Damage: +20, Generic
# warbear drone codes: Makes the drone better, faster, stronger
wax lips	Experience: +3, Softcore Only, Generic
# weegee sqouija: Hobo's Booze Is More Effective
woimbook	Familiar Weight: +5
woolen cravat	Familiar Weight: +5
Xiblaxian holo-bowtie	Familiar Weight: +5
# zen motorcycle: Makes Llama Lamas friendlier

# Minstrel section of modifiers.txt

Clancy's sackbut	HP Regen Min: [C], HP Regen Max: [C*2], MP Regen Min: [C], MP Regen Max: [C*2]
Clancy's crumhorn	Volleyball: [5*C]
Clancy's lute	Fairy: [5*C]

# Pasta Thrall section of modifiers.txt
# level 5 ability: min(floor(P/5),1)*X
# level 10 ability: floor(P/10)*X

Angel Hair Wisp	Initiative: [5*P]
Lasagmbie	Meat Drop: [20+(2*P)], Spooky Spell Damage: [floor(P/10)*10]
Penne Dreadful	Equalize Moxie: "Mysticality", Damage Reduction: [floor(P/10)*10]
Spaghetti Elemental	Spell Damage: [floor(P/10)*5], Experience: [(1+ceil(P/3))/2]
Spice Ghost	Item Drop: [10+P]
Elbow Macaroni	Equalize Muscle: "Mysticality", Weapon Damage: [min(floor(P/5),1)*2*P], Critical Hit Percent: [floor(P/10)*10]
Vampieroghi	Maximum HP: [floor(P/10)*60]
Vermincelli	Maximum MP: [floor(P/10)*30]

# Familiars section of modifiers.txt

# Familiars with standard abilities don't need to appear here -
# familiar.txt types of stat0, stat1, item0, meat0 correspond to
# modifiers Volleyball, Sombrero, Fairy, Leprechaun, with a default
# value of 1.

Fam:(none)	Underwater Familiar
Fam:Adorable Space Buddy	Underwater Familiar
Fam:Baby Mutant Rattlesnake	Volleyball Effectiveness: [1.3-0.15*G]
Fam:Barrrnacle	Underwater Familiar
Fam:Crimbo P. R. E. S. S. I. E.	Volleyball: 1
Fam:Cuddlefish	Underwater Familiar
Fam:Emo Squid	Underwater Familiar
Fam:Exotic Parrot	Hot Resistance: [floor((W+19)/20)], Cold Resistance: [floor((W+15)/20)], Spooky Resistance: [floor((W+11)/20)], Stench Resistance: [floor((W+7)/20)], Sleaze Resistance: [floor((W+3)/20)]
Fam:Grouper Groupie	Underwater Familiar
Fam:Happy Medium	Initiative: [W]
Fam:Hobo Monkey	Leprechaun: 1.25
Fam:Imitation Crab	Underwater Familiar
Fam:Jumpsuited Hound Dog	Fairy: 1.25, Combat Rate: [min(5,floor(W/6))]
Fam:Llama Lama	Volleyball: 0.5
Fam:Magic Dragonfish	Spell Damage Percent: [min(2*W,100^(zone(The Sea)+loc(The Sunken Party Yacht))*100)], Underwater Familiar
Fam:Mechanical Songbird	Fairy: [1.0+0.5*zone(Dreadsylvania)]
Fam:Midget Clownfish	Underwater Familiar
Fam:Mini-Adventurer	Volleyball: [pref(miniAdvClass)*max(2-pref(miniAdvClass),0)*max(0,min(L-4,1))+max(3-pref(miniAdvClass),0)*max(pref(miniAdvClass)-1,0)], Leprechaun: [max(4-pref(miniAdvClass),0)*max(pref(miniAdvClass)-2,0)*max(0,min(L-9,1))+max(5-pref(miniAdvClass),0)*max(pref(miniAdvClass)-3,0)], Fairy: [max(6-pref(miniAdvClass),0)*max(pref(miniAdvClass)-4,0)*max(0,min(L-4,1))+max(7-pref(miniAdvClass),0)*max(pref(miniAdvClass)-5,0)*max(0,min(L-9,1))], Sombrero: [max(7-pref(miniAdvClass),0)*max(pref(miniAdvClass)-5,0)*max(0,min(L-14,1))]
Fam:Mutant Cactus Bud	Leprechaun Effectiveness: [1.3-0.15*G]
Fam:Mutant Fire Ant	Fairy Effectiveness: [1.3-0.15*G]
Fam:Oily Woim	Initiative: [2*W]
Fam:Peppermint Rhino	Candy Drop: [max(sqrt(55*W)+W-3,0)]
Fam:Purse Rat	Monster Level: [floor(W/2)]
Fam:Reanimated Reanimator	Volleyball: 1, Meat Drop: [max(sqrt(220*pref(reanimatorSkulls))+2*pref(reanimatorSkulls)-6,0)], Item Drop: [max(sqrt(55*pref(reanimatorLegs))+pref(reanimatorLegs)-3,0)]
Fam:Rock Lobster	Underwater Familiar
Fam:Squamous Gibberer	Underwater Familiar
Fam:Steam-Powered Cheerleader	Fairy: [1+0.1*ceil(pref(_cheerleaderSteam)/50)]
Fam:Urchin Urchin	Underwater Familiar
Fam:Wizard Action Figure	Volleyball: 0.3333, Fairy: 0.3333
Fam:Xiblaxian Holo-Companion	Initiative: [2*W]

# Enthroned familiars section of modifiers.txt

# Throne:Homemade Robot
# Throne:MiniMechaElf
Throne:Adorable Seal Larva	HP Regen Min: 2, HP Regen Max: 8, MP Regen Min: 2, MP Regen Max: 8
Throne:Adorable Space Buddy	Maximum HP: 30, Maximum MP: 30, MP Regen Min: 10, MP Regen Max: 12
Throne:Ancient Yuletide Troll	HP Regen Min: 2, HP Regen Max: 8, MP Regen Min: 2, MP Regen Max: 8
Throne:Angry Goat	Muscle Percent: +15
Throne:Angry Jung Man	Maximum HP: 10, Maximum MP: 10
Throne:Animated Macaroni Duck	Familiar Weight: +5
Throne:Artistic Goth Kid	Muscle: +10, Mysticality: +10, Moxie: +10, HP Regen Min: 10, HP Regen Max: 20, MP Regen Min: 3, MP Regen Max: 4
Throne:Astral Badger	Maximum HP: +10, Maximum MP: +10
Throne:Attention-Deficit Demon	Meat Drop: +20
Throne:Autonomous Disco Ball	Familiar Weight: +5
Throne:Baby Bugged Bugbear	Muscle: -10, Mysticality: -10, Moxie: -10, Experience: +2
Throne:Baby Gravy Fairy	Weapon Damage: +10, HP Regen Min: 3, HP Regen Max: 5, MP Regen Min: 3, MP Regen Max: 5
Throne:Baby Mutant Rattlesnake	Experience (Muscle): +2
Throne:Baby Sandworm	Maximum HP: +10, Maximum MP: +10
Throne:Baby Yeti	Spell Damage Percent: +10
Throne:Barrrnacle	Familiar Weight: +5
Throne:Black Cat	Muscle: -10, Mysticality: -10, Moxie: -10
Throne:Blavious Kloop	Maximum HP: +10, Maximum MP: +10
Throne:Blood-Faced Volleyball	Experience (Moxie): +2
Throne:Bloovian Groose	Maximum HP: +10, Maximum MP: +10
Throne:BRICKO chick	 Muscle Percent: +10, Mysticality Percent: +10, Moxie Percent: +10
Throne:Bulky Buddy Box	Hot Resistance: +2, Cold Resistance: +2, Stench Resistance: +2, Spooky Resistance: +2, Sleaze Resistance: +2
Throne:Casagnova Gnome	Meat Drop: +20, HP Regen Min: 16, HP Regen Max: 20, MP Regen Min: 9, MP Regen Max: 11
Throne:Chauvinist Pig	Experience (Muscle): +2
Throne:Cheshire Bat	Experience (Mysticality): +2, HP Regen Min: 8, HP Regen Max: 10
Throne:Clockwork Grapefruit	Moxie Percent: +15
Throne:Cocoabo	Muscle: +10, Mysticality: +10, Moxie: +10
Throne:Coffee Pixie	Meat Drop: +20, MP Regen Min: 5, MP Regen Max: 6
Throne:Cotton Candy Carnie	Initiative: +20
Throne:Crimbo Elf	Weapon Damage: +10
Throne:Crimbo P. R. E. S. S. I. E.	Muscle: +10, Mysticality: +10, Moxie: +10
Throne:Cuddlefish	Initiative: +20
Throne:Cymbal-Playing Monkey	Experience (Moxie): +2
Throne:Dancing Frog	Meat Drop: +20
Throne:Dandy Lion	HP Regen Min: 2, HP Regen Max: 8, MP Regen Min: 2, MP Regen Max: 8
Throne:Dataspider	MP Regen Min: 3, MP Regen Max: 5, Spell Damage Percent: +10
Throne:Dramatic Hedgehog	Experience (Mysticality): +2, HP Regen Min: 2, HP Regen Max: 3
Throne:El Vibrato Megadrone	Monster Level: +10, MP Regen Min: 10, MP Regen Max: 15
Throne:Emo Squid	Initiative: +20
Throne:Evil Teddy Bear	Initiative: +20
Throne:Exotic Parrot	Hot Resistance: +2, Cold Resistance: +2, Stench Resistance: +2, Spooky Resistance: +2, Sleaze Resistance: +2
Throne:Feather Boa Constrictor	Initiative: +20, HP Regen Min: 5, HP Regen Max: 6, MP Regen Min: 3, MP Regen Max: 4
Throne:Feral Kobold	Item Drop: +15
Throne:Fist Turkey	Weapon Damage: +20
Throne:Flaming Face	Cold Resistance: +3
